{'filename': 'gc_50_1_4', 'time': 0.00972, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_500_5_56', 'time': 300.26372, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_250_5_31', 'time': 300.10763, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_100_3_10', 'time': 300.06213, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_20_7_8', 'time': 0.00496, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_20_5_5', 'time': 0.00441, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_4_1_2', 'time': 0.0039, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_70_9_28', 'time': 300.10459, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_70_1_4', 'time': 0.0193, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_20_9_11', 'time': 0.00503, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_1000_3_61', 'time': 300.44559, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_500_9_176', 'time': 1.48805, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_1000_9_240', 'time': 301.27755, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_1000_1_24', 'time': 300.22854, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_500_1_14', 'time': 300.10557, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_50_9_22', 'time': 0.28004, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_100_1_5', 'time': 0.40762, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_20_3_5', 'time': 0.00497, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_70_5_12', 'time': 300.10388, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_1000_7_149', 'time': 300.98803, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_250_1_54', 'time': 0.09983, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_50_5_9', 'time': 4.49381, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_250_7_45', 'time': 300.14826, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_500_3_35', 'time': 300.23825, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_70_7_17', 'time': 300.10873, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_100_9_38', 'time': 300.11322, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_250_9_75', 'time': 300.17154, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_50_3_6', 'time': 0.04017, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_20_1_3', 'time': 0.00404, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_50_7_14', 'time': 300.06969, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_100_5_15', 'time': 300.10804, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_1000_5_100', 'time': 300.73884, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_100_7_22', 'time': 300.12797, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_70_3_8', 'time': 15.8375, 'solver': 'backtracking', 'solved': True}
{'filename': 'gc_500_7_83', 'time': 300.25186, 'solver': 'backtracking', 'solved': False}
{'filename': 'gc_250_3_20', 'time': 300.13952, 'solver': 'backtracking', 'solved': False}
