{'filename': 'gc_50_1_4', 'time': 0.0506, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_500_5_56', 'time': 300.2886, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_5_31', 'time': 300.14926, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_3_10', 'time': 300.10458, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_20_7_8', 'time': 0.01705, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_20_5_5', 'time': 0.04021, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_4_1_2', 'time': 0.00473, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_70_9_28', 'time': 300.10657, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_70_1_4', 'time': 3.43674, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_20_9_11', 'time': 0.11396, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_1000_3_61', 'time': 300.45648, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_500_9_176', 'time': 300.45451, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_1000_9_240', 'time': 301.34559, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_1000_1_24', 'time': 300.29623, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_500_1_14', 'time': 300.16192, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_50_9_22', 'time': 300.10618, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_1_5', 'time': 7.00819, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_20_3_5', 'time': 0.00675, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_70_5_12', 'time': 300.10218, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_1000_7_149', 'time': 301.13861, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_1_54', 'time': 0.10587, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_50_5_9', 'time': 300.0465, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_7_45', 'time': 300.15991, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_500_3_35', 'time': 300.21252, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_70_7_17', 'time': 300.10601, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_9_38', 'time': 300.03506, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_9_75', 'time': 300.15816, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_50_3_6', 'time': 84.86683, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_20_1_3', 'time': 0.00769, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_50_7_14', 'time': 300.10317, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_5_15', 'time': 300.07154, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_1000_5_100', 'time': 300.80152, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_7_22', 'time': 300.12973, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_70_3_8', 'time': 300.08201, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_500_7_83', 'time': 300.32662, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_3_20', 'time': 300.13373, 'solver': 'nmcs-1', 'solved': False}
