{'filename': 'gc_50_1_4', 'time': 0.04124, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_500_5_56', 'time': 300.24402, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_5_31', 'time': 300.10097, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_3_10', 'time': 300.10399, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_20_7_8', 'time': 0.00913, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_20_5_5', 'time': 0.1013, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_4_1_2', 'time': 0.00519, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_70_9_28', 'time': 300.03875, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_70_1_4', 'time': 10.09142, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_20_9_11', 'time': 0.02881, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_1000_3_61', 'time': 300.48198, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_500_9_176', 'time': 300.40222, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_1000_9_240', 'time': 301.2812, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_1000_1_24', 'time': 300.25528, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_500_1_14', 'time': 300.14208, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_50_9_22', 'time': 300.10884, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_1_5', 'time': 300.1022, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_20_3_5', 'time': 0.01673, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_70_5_12', 'time': 300.10229, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_1000_7_149', 'time': 301.22718, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_1_54', 'time': 0.11998, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_50_5_9', 'time': 300.10259, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_7_45', 'time': 300.16037, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_500_3_35', 'time': 300.21027, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_70_7_17', 'time': 300.10977, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_9_38', 'time': 300.11316, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_9_75', 'time': 300.14225, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_50_3_6', 'time': 300.02686, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_20_1_3', 'time': 0.02322, 'solver': 'nmcs-1', 'solved': True}
{'filename': 'gc_50_7_14', 'time': 300.0876, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_5_15', 'time': 300.1083, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_1000_5_100', 'time': 300.75451, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_100_7_22', 'time': 300.12505, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_70_3_8', 'time': 300.10433, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_500_7_83', 'time': 300.32805, 'solver': 'nmcs-1', 'solved': False}
{'filename': 'gc_250_3_20', 'time': 300.13929, 'solver': 'nmcs-1', 'solved': False}
