{'filename': 'gc_50_1_4', 'time': 0.0343, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_500_5_56', 'time': 300.27349, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_250_5_31', 'time': 300.09178, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_100_3_10', 'time': 300.08027, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_20_7_8', 'time': 0.00812, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_20_5_5', 'time': 0.07021, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_4_1_2', 'time': 0.0053, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_70_9_28', 'time': 300.06846, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_70_1_4', 'time': 0.03564, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_20_9_11', 'time': 0.02492, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_1000_3_61', 'time': 300.58289, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_500_9_176', 'time': 136.15242, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_1000_9_240', 'time': 301.3801, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_1000_1_24', 'time': 300.39833, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_500_1_14', 'time': 300.14732, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_50_9_22', 'time': 0.52621, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_100_1_5', 'time': 0.14866, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_20_3_5', 'time': 0.01, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_70_5_12', 'time': 300.08694, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_1000_7_149', 'time': 301.23228, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_250_1_54', 'time': 0.16109, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_50_5_9', 'time': 0.05598, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_250_7_45', 'time': 300.16704, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_500_3_35', 'time': 300.21544, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_70_7_17', 'time': 300.10779, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_100_9_38', 'time': 300.11388, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_250_9_75', 'time': 300.1921, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_50_3_6', 'time': 1.0984, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_20_1_3', 'time': 0.0081, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_50_7_14', 'time': 34.51083, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_100_5_15', 'time': 300.10808, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_1000_5_100', 'time': 300.87239, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_100_7_22', 'time': 300.12775, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_70_3_8', 'time': 0.14705, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': 'gc_500_7_83', 'time': 300.37154, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': 'gc_250_3_20', 'time': 300.13176, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
