{'filename': 'gc_50_1_4', 'time': 0.09914, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_500_5_56', 'time': 300.25758, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_250_5_31', 'time': 300.15095, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_100_3_10', 'time': 300.10324, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_20_7_8', 'time': 0.03348, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_20_5_5', 'time': 0.011, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_4_1_2', 'time': 0.00551, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_70_9_28', 'time': 300.1062, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_70_1_4', 'time': 0.07922, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_20_9_11', 'time': 0.02554, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_1000_3_61', 'time': 300.51813, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_500_9_176', 'time': 300.44241, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_1000_9_240', 'time': 301.51888, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_1000_1_24', 'time': 300.37729, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_500_1_14', 'time': 300.14109, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_50_9_22', 'time': 2.65504, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_100_1_5', 'time': 0.08233, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_20_3_5', 'time': 0.00952, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_70_5_12', 'time': 40.41259, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_1000_7_149', 'time': 301.20644, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_250_1_54', 'time': 0.15753, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_50_5_9', 'time': 2.12361, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_250_7_45', 'time': 300.12369, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_500_3_35', 'time': 300.20633, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_70_7_17', 'time': 62.46996, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_100_9_38', 'time': 300.06096, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_250_9_75', 'time': 300.1817, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_50_3_6', 'time': 1.2504, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_20_1_3', 'time': 0.00949, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_50_7_14', 'time': 12.57475, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_100_5_15', 'time': 300.09389, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_1000_5_100', 'time': 300.81663, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_100_7_22', 'time': 300.13912, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_70_3_8', 'time': 0.25104, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': 'gc_500_7_83', 'time': 300.35325, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': 'gc_250_3_20', 'time': 300.13355, 'solver': 'nrpa-1-100-heur', 'solved': False}
