{'filename': '5_8', 'time': 300.08864, 'solver': 'backtracking', 'solved': False}
{'filename': '4_7', 'time': 300.06052, 'solver': 'backtracking', 'solved': False}
{'filename': '4_2', 'time': 7.61125, 'solver': 'backtracking', 'solved': True}
{'filename': '3_7', 'time': 0.0154, 'solver': 'backtracking', 'solved': True}
{'filename': '5_0', 'time': 300.10362, 'solver': 'backtracking', 'solved': False}
{'filename': '5_5', 'time': 300.10403, 'solver': 'backtracking', 'solved': False}
{'filename': '4_0', 'time': 300.10546, 'solver': 'backtracking', 'solved': False}
{'filename': '5_1', 'time': 300.10586, 'solver': 'backtracking', 'solved': False}
{'filename': '3_6', 'time': 0.0145, 'solver': 'backtracking', 'solved': True}
{'filename': '5_9', 'time': 300.1024, 'solver': 'backtracking', 'solved': False}
{'filename': '3_4', 'time': 0.01697, 'solver': 'backtracking', 'solved': True}
{'filename': '5_2', 'time': 300.1037, 'solver': 'backtracking', 'solved': False}
{'filename': '5_4', 'time': 300.0765, 'solver': 'backtracking', 'solved': False}
{'filename': '3_2', 'time': 0.01745, 'solver': 'backtracking', 'solved': True}
{'filename': '3_1', 'time': 0.01705, 'solver': 'backtracking', 'solved': True}
{'filename': '3_8', 'time': 0.01542, 'solver': 'backtracking', 'solved': True}
{'filename': '4_9', 'time': 300.1049, 'solver': 'backtracking', 'solved': False}
{'filename': '4_5', 'time': 300.04141, 'solver': 'backtracking', 'solved': False}
{'filename': '4_8', 'time': 300.1052, 'solver': 'backtracking', 'solved': False}
{'filename': '5_6', 'time': 300.07766, 'solver': 'backtracking', 'solved': False}
{'filename': '4_4', 'time': 300.09782, 'solver': 'backtracking', 'solved': False}
{'filename': '4_3', 'time': 300.01185, 'solver': 'backtracking', 'solved': False}
{'filename': '3_0', 'time': 0.01481, 'solver': 'backtracking', 'solved': True}
{'filename': '5_7', 'time': 300.01525, 'solver': 'backtracking', 'solved': False}
{'filename': '3_9', 'time': 0.01715, 'solver': 'backtracking', 'solved': True}
{'filename': '3_5', 'time': 0.01923, 'solver': 'backtracking', 'solved': True}
{'filename': '3_3', 'time': 0.01535, 'solver': 'backtracking', 'solved': True}
{'filename': '4_6', 'time': 300.1046, 'solver': 'backtracking', 'solved': False}
{'filename': '4_1', 'time': 300.09212, 'solver': 'backtracking', 'solved': False}
{'filename': '5_3', 'time': 300.01489, 'solver': 'backtracking', 'solved': False}
