{'filename': '5_8', 'time': 300.08232, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '4_7', 'time': 300.10088, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '4_2', 'time': 300.10186, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '3_7', 'time': 0.0193, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '5_0', 'time': 300.09909, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '5_5', 'time': 300.09664, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '4_0', 'time': 168.40127, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '5_1', 'time': 300.08753, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '3_6', 'time': 0.18371, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '5_9', 'time': 300.10098, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '3_4', 'time': 0.07747, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '5_2', 'time': 300.09901, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '5_4', 'time': 300.10027, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '3_2', 'time': 0.03298, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '3_1', 'time': 0.05037, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '3_8', 'time': 0.02978, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '4_9', 'time': 63.14694, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '4_5', 'time': 267.78781, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '4_8', 'time': 300.08065, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '5_6', 'time': 300.09701, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '4_4', 'time': 300.10268, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '4_3', 'time': 143.52234, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '3_0', 'time': 0.02591, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '5_7', 'time': 300.10109, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '3_9', 'time': 0.01438, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '3_5', 'time': 0.03353, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '3_3', 'time': 0.01327, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '4_6', 'time': 300.10109, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
{'filename': '4_1', 'time': 41.26004, 'solver': 'nrpa-1-100-heur-old', 'solved': True}
{'filename': '5_3', 'time': 300.07234, 'solver': 'nrpa-1-100-heur-old', 'solved': False}
