{'filename': '5_8', 'time': 300.10441, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '4_7', 'time': 300.0991, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '4_2', 'time': 38.44487, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '3_7', 'time': 0.02056, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '5_0', 'time': 300.09942, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '5_5', 'time': 300.09882, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '4_0', 'time': 57.12631, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '5_1', 'time': 300.05236, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '3_6', 'time': 0.11484, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '5_9', 'time': 300.10218, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '3_4', 'time': 0.02234, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '5_2', 'time': 300.10088, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '5_4', 'time': 300.1012, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '3_2', 'time': 0.03354, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '3_1', 'time': 0.03479, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '3_8', 'time': 0.08791, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '4_9', 'time': 13.69969, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '4_5', 'time': 3.19935, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '4_8', 'time': 46.76311, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '5_6', 'time': 300.10029, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '4_4', 'time': 194.84912, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '4_3', 'time': 9.26251, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '3_0', 'time': 0.04911, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '5_7', 'time': 300.07345, 'solver': 'nrpa-1-100-heur', 'solved': False}
{'filename': '3_9', 'time': 0.01581, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '3_5', 'time': 0.02215, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '3_3', 'time': 0.06583, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '4_6', 'time': 13.95355, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '4_1', 'time': 6.52574, 'solver': 'nrpa-1-100-heur', 'solved': True}
{'filename': '5_3', 'time': 300.03131, 'solver': 'nrpa-1-100-heur', 'solved': False}
